iloc_county_fips,POPESTIMATE_2011,any_ai_2011,patents_2011,POPESTIMATE_2019,any_ai_2019,patents_2019,pop_chg,pop_chg_pct,ppk_2011,ppk_2019,aippk_2011,aippk_2019,cbsa,msa,csa,county,state,central/outlying,EMA_aipat_9yr_2011,EMA_pat_9yr_2011,EMA_aipat_9yr_2019,EMA_pat_9yr_2019,total_patents,total_ai_patents,total_domestic_mig,bach_pct_2011,Individuals,burd_weight,med_home_val_2011,pct_chg_mhv,fmr_2011,fmr_2019,pct_chg_fmr,EMA_unemp_9yr_2011,SMA_unemp_9yr_2011,chg_SMA_unemp_9yr,chg_EMA_unemp_9yr,NatAmenScale,NatAmenRank,EMA_ppk_chg,EMA_aippk_chg,net_pop_chg_domestic_mig,dest_fips
01001,55227.0,0.0,2.0,55869.0,1.0,4.0,642.0,0.011624748764191428,0.03621417060495772,0.07159605505736634,0.0,0.017899013764341585,"Montgomery, AL",Metropolitan Statistical Area,"Montgomery-Selma-Alexander City, AL",Autauga County,Alabama,Central,0.0,0.034258703552331134,0.2046073478783101,0.040216090800982776,17,1.0,727.0,0.13540478389193691,9733.888888888889,0.023788200657270425,137500.0,0.08619173262972744,735.0,825.0,0.12244897959183673,6.53365666900253,5.7444444444444445,-0.3777777777777782,-1.8342081329495947,0.78,4.0,0.005957387248651642,0.2046073478783101,0.01316385101490213,01001
01003,186558.0,1.0,15.0,223234.0,3.0,38.0,36676.0,0.1965930166489778,0.0804039494419966,0.17022496573102663,0.005360263296133106,0.013438813084028419,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,"Mobile-Daphne-Fairhope, AL",Baldwin County,Alabama,Central,0.700992303571769,0.06951694274747536,1.5343893501241879,0.12765327009403504,217,11.0,36755.0,0.18154675757673217,41108.61111111111,0.029183258727499724,175700.0,0.4283510455947889,764.0,888.0,0.16230366492146597,6.8344022049739745,5.888888888888889,-0.20000000000000018,-1.9307235436661623,1.82,4.0,0.058136327346559685,0.8333970465524189,0.1970164774493723,01003
01005,27341.0,0.0,2.0,24686.0,0.0,2.0,-2655.0,-0.09710690903770894,0.07315021396437585,0.08101758081503686,0.0,0.0,"Eufaula, AL-GA",Micropolitan Statistical Area,,Barbour County,Alabama,Central,0.19225504400333446,0.08427656339098182,0.05547877807967008,0.0985462163872543,16,0.0,-1237.0,0.09619253136315424,1817.138888888889,0.02718588003249269,91600.0,-0.049995981030463765,539.0,666.0,0.23562152133580705,9.69602274656253,8.633333333333333,-0.13333333333333286,-2.3953532173163348,0.19,4.0,0.014269652996272489,-0.13677626592366438,-0.04524340733696646,01005
01009,57560.0,0.0,3.0,57826.0,0.0,1.0,266.0,0.004621264767199444,0.052119527449617786,0.01729325908760765,0.0,0.0,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Blount County,Alabama,Outlying,0.0,0.027920013891622443,0.08796490203927229,0.03489721537453482,17,1.0,11.0,0.07552119527449618,6200.444444444444,0.025489470341319053,111500.0,0.1533130493576743,786.0,873.0,0.11068702290076336,6.671009603836472,5.666666666666667,-0.17777777777777803,-1.9004733754550314,0.23,4.0,0.006977201482912379,0.08796490203927229,0.0001911049339819319,01009
01015,117744.0,0.0,1.0,113605.0,0.0,5.0,-4139.0,-0.035152534311727136,0.008493001766544368,0.04401214735266934,0.0,0.0,"Anniston-Oxford, AL",Metropolitan Statistical Area,,Calhoun County,Alabama,Central,0.3226435918852813,0.04914509744184063,0.8885008301095999,0.057939697599743226,64,9.0,-4384.0,0.10501596684332111,10830.055555555555,0.026181413134512787,99600.0,0.11764705882352935,585.0,676.0,0.15555555555555556,7.925554836750358,6.822222222222222,0.21111111111111214,-1.8650657426119324,0.22,4.0,0.008794600157902593,0.5658572382243185,-0.03723331974453051,01015
01017,34033.0,0.0,1.0,33254.0,0.0,8.0,-779.0,-0.022889548379514003,0.029383245673317075,0.24057256269922414,0.0,0.0,"LaGrange, GA-AL",Micropolitan Statistical Area,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Chambers County,Alabama,Outlying,0.0,0.03567945650239344,0.16930779443258687,0.1357696757244115,32,1.0,-488.0,0.07351688067463932,1890.75,0.028256688790894924,82400.0,0.13696217394950932,536.0,691.0,0.2891791044776119,11.420721056306823,10.088888888888889,-3.477777777777778,-5.435406805860373,-0.34,3.0,0.10009021922201808,0.16930779443258687,-0.014339023888578733,01017
01019,25989.0,0.0,3.0,26196.0,0.0,1.0,207.0,0.007964908230405172,0.1154334526145677,0.03817376698732631,0.0,0.0,,,,,,,0.0,0.08044408671135454,0.0,0.06556724479271706,13,0.0,1100.0,0.08103428373542652,2212.25,0.027217288546657947,96200.0,0.10427190070717264,560.0,628.0,0.12142857142857143,7.616612337124131,6.566666666666666,-0.833333333333333,-2.623286580556874,0.64,4.0,-0.014876841918637487,0.0,0.04232559929200816,01019
01021,,,,44428.0,0.0,1.0,,,,0.022508328081390114,,0.0,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Chilton County,Alabama,Outlying,,,0.0866855907494845,0.036454006289135636,10,1.0,71.0,0.08164526539861293,4394.277777777777,0.02475784217176836,104300.0,0.15347251810822335,612.0,628.0,0.026143790849673203,7.1133956242712735,6.0888888888888895,-0.3888888888888893,-2.1530704314664417,0.38,4.0,,,,01021
01023,13609.0,0.0,1.0,,,,,,0.0734807847747814,,0.0,,,,,,,,0.0,0.08845386436917405,,,2,0.0,-342.0,0.07524432360937615,1407.8055555555557,0.02308213708301008,61400.0,,536.0,663.0,0.23694029850746268,10.259330283880463,9.3,-0.8111111111111118,-2.7466463180567944,0.92,4.0,,,-0.025130428392975235,01023
01025,25587.0,0.0,3.0,23622.0,0.0,1.0,-1965.0,-0.07679681088052527,0.11724703951225231,0.042333418000169334,0.0,0.0,,,,,,,0.0,0.0795953236932764,0.0,0.04966017557278285,10,0.0,-1587.0,0.08871692656427092,2735.4444444444443,0.02342932739102327,79900.0,0.06056577295221227,536.0,628.0,0.17164179104477612,13.126145538220706,10.966666666666665,0.6888888888888918,-3.2075972108238133,1.26,4.0,-0.029935148120493554,0.0,-0.06202368390198147,01025
