fips,areaname23,name,msa23,fmr23_2,fmr23,msa22,fmr22_2,fmr22,areaname22,msa21,fmr21_2,fmr21,msa20,fmr20_2,fmr20,msa19,fmr19_2,fmr19,msa18,fmr18_2,fmr18,msa17,fmr17_2,fmr17,msa16,fmr16_2,fmr16,msa15,fmr15_2,fmr15,msa14,fmr14_2,fmr14,msa13,fmr13_2,fmr13,msa12,fmr12_2,fmr12,msa11,fmr11_2,fmr11,msa10,fmr10_2,fmr10,msa09,fmr09_2,fmr09,msa08,fmr08_2,fmr08,msa07,fmr07_2,fmr07,msa06,fmr06_2,fmr06,msa05,fmr05_2,fmr05,msa04,fmr04_2,fmr04,msa03,fmr03_2,fmr03,msa02,fmr02_2,fmr02,msa01,fmr01_2,fmr01,msa00,fmr00_2,fmr00,state,county
100199999,"Montgomery, AL MSA",Autauga County,METRO33860M33860,977,40,METRO33860M33860,914,40,"Montgomery, AL MSA",METRO33860M33860,908,40,METRO33860M33860,830,40,METRO33860M33860,825,40,METRO33860M33860,829,40,METRO33860M33860,822,40,METRO33860M33860,788,40,METRO33860M33860,788,40,METRO33860M33860,710,40,METRO33860M33860,790,40,METRO33860M33860,723,40,METRO33860M33860,735,40,METRO33860M33860,735,40,METRO33860M33860,706,40,METRO33860M33860,660,40,METRO33860M33860,623,40,METRO33860M33860,599,40,5240,583,40,5240,537,40,5240,535,40,5240,522,40,5240,507,40,5240,499,40,1,1
100399999,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,METRO19300M19300,1206,40,METRO19300M19300,1017,40,"Daphne-Fairhope-Foley, AL MSA",METRO19300M19300,922,40,METRO19300M19300,916,40,METRO19300M19300,888,40,METRO19300M19300,879,40,METRO19300M19300,977,40,METRO19300M19300,873,40,NCNTY01003N01003,762,40,NCNTY01003N01003,827,40,NCNTY01003N01003,729,40,NCNTY01003N01003,691,40,NCNTY01003N01003,764,40,NCNTY01003N01003,764,40,NCNTY01003N01003,733,40,NCNTY01003N01003,686,40,NCNTY01003N01003,644,40,NCNTY01003N01003,619,40,5160,561,40,5160,523,40,5160,521,40,5160,507,40,5160,493,40,5160,485,40,1,3
100599999,"Barbour County, AL",Barbour County,NCNTY01005N01005,740,40,NCNTY01005N01005,705,40,"Barbour County, AL",NCNTY01005N01005,648,40,NCNTY01005N01005,633,40,NCNTY01005N01005,666,40,NCNTY01005N01005,657,40,NCNTY01005N01005,671,40,NCNTY01005N01005,636,40,NCNTY01005N01005,670,40,NCNTY01005N01005,583,40,NCNTY01005N01005,584,40,NCNTY01005N01005,499,40,NCNTY01005N01005,539,40,NCNTY01005N01005,539,40,NCNTY01005N01005,518,40,NCNTY01005N01005,485,40,NCNTY01005N01005,455,40,NCNTY01005N01005,437,40,9999,425,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,1,5
100799999,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,METRO13820M13820,1075,40,METRO13820M13820,943,40,"Birmingham-Hoover, AL HUD Metro FMR Area",METRO13820M13820,1002,40,METRO13820M13820,986,40,METRO13820M13820,873,40,METRO13820M13820,882,40,METRO13820M13820,866,40,METRO13820M13820,840,40,METRO13820M13820,773,40,METRO13820M13820,743,40,METRO13820M13820,785,40,METRO13820M13820,750,40,METRO13820M13820,786,40,METRO13820M13820,735,40,METRO13820M13820,698,40,METRO13820M13820,690,40,METRO13820M13820,604,40,METRO13820M13820,581,40,9999,431,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,1,7
100999999,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,METRO13820M13820,1075,40,METRO13820M13820,943,40,"Birmingham-Hoover, AL HUD Metro FMR Area",METRO13820M13820,1002,40,METRO13820M13820,986,40,METRO13820M13820,873,40,METRO13820M13820,882,40,METRO13820M13820,866,40,METRO13820M13820,840,40,METRO13820M13820,773,40,METRO13820M13820,743,40,METRO13820M13820,785,40,METRO13820M13820,750,40,METRO13820M13820,786,40,METRO13820M13820,735,40,METRO13820M13820,698,40,METRO13820M13820,690,40,METRO13820M13820,604,40,METRO13820M13820,581,40,1000,577,40,1000,559,40,1000,557,40,1000,543,40,1000,528,40,1000,519,40,1,9
101199999,"Bullock County, AL",Bullock County,NCNTY01011N01011,820,40,NCNTY01011N01011,783,40,"Bullock County, AL",NCNTY01011N01011,705,40,NCNTY01011N01011,612,40,NCNTY01011N01011,628,40,NCNTY01011N01011,606,40,NCNTY01011N01011,621,40,NCNTY01011N01011,569,40,NCNTY01011N01011,599,40,NCNTY01011N01011,566,40,NCNTY01011N01011,584,40,NCNTY01011N01011,499,40,NCNTY01011N01011,550,40,NCNTY01011N01011,550,40,NCNTY01011N01011,528,40,NCNTY01011N01011,494,40,NCNTY01011N01011,465,40,NCNTY01011N01011,447,40,9999,434,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,1,11
101399999,"Butler County, AL",Butler County,NCNTY01013N01013,761,40,NCNTY01013N01013,705,40,"Butler County, AL",NCNTY01013N01013,634,40,NCNTY01013N01013,612,40,NCNTY01013N01013,628,40,NCNTY01013N01013,606,40,NCNTY01013N01013,621,40,NCNTY01013N01013,569,40,NCNTY01013N01013,599,40,NCNTY01013N01013,566,40,NCNTY01013N01013,584,40,NCNTY01013N01013,499,40,NCNTY01013N01013,550,40,NCNTY01013N01013,550,40,NCNTY01013N01013,528,40,NCNTY01013N01013,494,40,NCNTY01013N01013,465,40,NCNTY01013N01013,447,40,9999,434,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,1,13
101599999,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,METRO11500M11500,802,40,METRO11500M11500,744,40,"Anniston-Oxford-Jacksonville, AL MSA",METRO11500M11500,723,40,METRO11500M11500,700,40,METRO11500M11500,676,40,METRO11500M11500,679,40,METRO11500M11500,630,40,METRO11500M11500,637,40,METRO11500M11500,675,40,METRO11500M11500,679,40,METRO11500M11500,636,40,METRO11500M11500,632,40,METRO11500M11500,585,40,METRO11500M11500,585,40,METRO11500M11500,562,40,METRO11500M11500,526,40,METRO11500M11500,493,40,METRO11500M11500,474,40,450,461,40,450,413,40,450,412,40,450,401,40,450,390,40,450,383,40,1,15
101799999,"Chambers County, AL",Chambers County,NCNTY01017N01017,911,40,NCNTY01017N01017,861,40,"Chambers County, AL",NCNTY01017N01017,744,40,NCNTY01017N01017,683,40,NCNTY01017N01017,691,40,NCNTY01017N01017,676,40,NCNTY01017N01017,751,40,NCNTY01017N01017,667,40,NCNTY01017N01017,696,40,NCNTY01017N01017,616,40,NCNTY01017N01017,627,40,NCNTY01017N01017,521,40,NCNTY01017N01017,536,40,NCNTY01017N01017,536,40,NCNTY01017N01017,514,40,NCNTY01017N01017,481,40,NCNTY01017N01017,453,40,NCNTY01017N01017,435,40,9999,406,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,1,17
101999999,"Cherokee County, AL",Cherokee County,NCNTY01019N01019,759,40,NCNTY01019N01019,705,40,"Cherokee County, AL",NCNTY01019N01019,634,40,NCNTY01019N01019,612,40,NCNTY01019N01019,628,40,NCNTY01019N01019,606,40,NCNTY01019N01019,621,40,NCNTY01019N01019,569,40,NCNTY01019N01019,599,40,NCNTY01019N01019,566,40,NCNTY01019N01019,584,40,NCNTY01019N01019,499,40,NCNTY01019N01019,560,40,NCNTY01019N01019,560,40,NCNTY01019N01019,538,40,NCNTY01019N01019,504,40,NCNTY01019N01019,476,40,NCNTY01019N01019,458,40,9999,445,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,1,19
102199999,"Chilton County, AL HUD Metro FMR Area",Chilton County,METRO13820N01021,755,40,METRO13820N01021,705,40,"Chilton County, AL HUD Metro FMR Area",METRO13820N01021,713,40,METRO13820N01021,714,40,METRO13820N01021,628,40,METRO13820N01021,633,40,METRO13820N01021,621,40,METRO13820N01021,569,40,METRO13820N01021,599,40,METRO13820N01021,566,40,METRO13820N01021,594,40,METRO13820N01021,554,40,METRO13820N01021,612,40,METRO13820N01021,612,40,METRO13820N01021,580,40,METRO13820N01021,543,40,METRO13820N01021,477,40,METRO13820N01021,459,40,9999,446,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,1,21
102399999,"Choctaw County, AL",Choctaw County,NCNTY01023N01023,740,40,NCNTY01023N01023,705,40,"Choctaw County, AL",NCNTY01023N01023,634,40,NCNTY01023N01023,618,40,NCNTY01023N01023,663,40,NCNTY01023N01023,677,40,NCNTY01023N01023,685,40,NCNTY01023N01023,661,40,NCNTY01023N01023,708,40,NCNTY01023N01023,692,40,NCNTY01023N01023,745,40,NCNTY01023N01023,640,40,NCNTY01023N01023,536,40,NCNTY01023N01023,536,40,NCNTY01023N01023,514,40,NCNTY01023N01023,481,40,NCNTY01023N01023,453,40,NCNTY01023N01023,435,40,9999,392,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,1,23
102599999,"Clarke County, AL",Clarke County,NCNTY01025N01025,740,40,NCNTY01025N01025,705,40,"Clarke County, AL",NCNTY01025N01025,634,40,NCNTY01025N01025,612,40,NCNTY01025N01025,628,40,NCNTY01025N01025,606,40,NCNTY01025N01025,621,40,NCNTY01025N01025,569,40,NCNTY01025N01025,599,40,NCNTY01025N01025,566,40,NCNTY01025N01025,584,40,NCNTY01025N01025,499,40,NCNTY01025N01025,536,40,NCNTY01025N01025,536,40,NCNTY01025N01025,514,40,NCNTY01025N01025,481,40,NCNTY01025N01025,453,40,NCNTY01025N01025,435,40,9999,422,40,10000,370,40,10000,370,40,10000,359,40,10000,350,40,10000,347,40,1,25
