FIPS,Estimate Median value (dollars),Margin of Error!!Median value (dollars),Annotation of Margin of Error!!Median value (dollars),Annotation of Estimate!!Median value (dollars)
01001,137500,4664,null,null
01003,175700,3794,null,null
01005,91600,7277,null,null
01007,87500,8349,null,null
01009,111500,5054,null,null
01011,68000,6070,null,null
01013,74300,5547,null,null
01015,99600,3034,null,null
01017,82400,2925,null,null
01019,96200,8040,null,null
01021,104300,5964,null,null
01023,61400,5312,null,null
01025,79900,7068,null,null
01027,83400,8046,null,null
01029,88200,8647,null,null
01031,121800,5353,null,null
01033,97300,4226,null,null
01035,76700,7374,null,null
01037,79200,5320,null,null
01039,86100,3860,null,null
01041,75400,7720,null,null
01043,102300,3994,null,null
01045,96800,2826,null,null
01047,70200,3949,null,null
01049,87400,3914,null,null
01051,143200,4423,null,null
01053,84500,3725,null,null
01055,102000,3761,null,null
01057,72200,7909,null,null
01059,81400,4333,null,null
01061,82000,3553,null,null
01063,77100,6530,null,null
01065,73500,4630,null,null
01067,95100,9242,null,null
01069,120500,2915,null,null
01071,88900,3287,null,null
01073,141700,1663,null,null
01075,70000,6354,null,null
01077,108100,3329,null,null
01079,95000,5765,null,null
01081,144100,4825,null,null
01083,128700,5668,null,null
01085,64900,7918,null,null
01087,77900,5046,null,null
01089,160400,2273,null,null
01091,88500,10820,null,null
01093,75900,3722,null,null
01095,107000,4054,null,null
01097,124100,1986,null,null
01099,77900,5827,null,null
01101,124000,2285,null,null
01103,117300,3130,null,null
01105,62200,11299,null,null
01107,81200,4888,null,null
01109,102800,10033,null,null
01111,91200,7274,null,null
01113,96200,3841,null,null
01115,129700,5606,null,null
01117,198900,2404,null,null
01119,75300,9038,null,null
01121,89100,3779,null,null
01123,96600,5996,null,null
01125,150600,2534,null,null
01127,83600,3782,null,null
01129,85600,5488,null,null
01131,54500,5668,null,null
01133,83500,4444,null,null
02013,121700,16043,null,null
02016,193800,38713,null,null
02020,276200,3409,null,null
02050,171100,25683,null,null
02060,172300,18328,null,null
02068,179500,43943,null,null
02070,182500,18262,null,null
02090,212800,5194,null,null
02100,173800,85906,null,null
02105,208200,31289,null,null
02110,299100,10729,null,null
02122,200000,5751,null,null
02130,254900,12533,null,null
02150,214000,21178,null,null
02164,157600,24504,null,null
02170,216500,3503,null,null
02180,144200,15938,null,null
02185,137500,23384,null,null
02188,131100,7705,null,null
02195,182200,29677,null,null
02198,145000,15660,null,null
02220,315200,28634,null,null
02230,310300,40275,null,null
02240,158900,13769,null,null
02261,167700,7543,null,null
02270,85100,3953,null,null
02275,168500,29085,null,null
02282,155500,15549,null,null
02290,102500,6145,null,null
04001,83200,3643,null,null
04003,155700,3732,null,null
04005,246600,7576,null,null
04007,154200,6630,null,null
04009,121100,7185,null,null
04011,73200,5787,null,null
04012,95700,13199,null,null
04013,219300,1108,null,null
04015,158200,3283,null,null
04017,130400,8795,null,null
04019,190500,1605,null,null
04021,144500,3366,null,null
04023,152700,7165,null,null
04025,216900,5227,null,null
04027,138600,3897,null,null
05001,79000,4343,null,null
05003,61800,3723,null,null
05005,121900,4267,null,null
05007,155700,2717,null,null
05009,108400,6341,null,null
05011,63900,4105,null,null
05013,51300,4762,null,null
05015,118200,10967,null,null
05017,54700,6337,null,null
05019,78700,6359,null,null
05021,59100,2744,null,null
05023,116800,8561,null,null
05025,74900,8485,null,null
05027,79500,5890,null,null
05029,82900,4724,null,null
05031,111900,4498,null,null
05033,99400,5176,null,null
05035,99200,3447,null,null
05037,73600,3692,null,null
05039,58400,6481,null,null
05041,58100,4466,null,null
05043,73500,10977,null,null
05045,130900,3323,null,null
05047,85800,6040,null,null
05049,87300,11231,null,null
05051,128400,4716,null,null
05053,102500,7276,null,null
05055,92800,4430,null,null
05057,69000,6680,null,null
05059,81600,3330,null,null
05061,71900,4195,null,null
05063,86700,5010,null,null
05065,79200,5176,null,null
05067,58100,3812,null,null
05069,78400,1884,null,null
05071,86200,3807,null,null
05073,50600,6387,null,null
05075,58700,3260,null,null
05077,51600,4321,null,null
05079,61900,10474,null,null
05081,78200,4304,null,null
05083,80200,3004,null,null
05085,117200,3154,null,null
05087,99400,10593,null,null
05089,92100,8090,null,null
05091,89400,3924,null,null
05093,72400,3966,null,null
05095,58900,6095,null,null
05097,75500,4945,null,null
05099,57800,7476,null,null
05101,76400,4976,null,null
05103,63400,3853,null,null
05105,82400,6778,null,null
05107,60400,4394,null,null
05109,74900,5503,null,null
05111,66000,2899,null,null
05113,82500,4494,null,null
05115,103300,5888,null,null
05117,73800,3707,null,null
05119,139800,2465,null,null
05121,69800,4556,null,null
05123,66400,3773,null,null
05125,135300,3322,null,null
05127,76700,8566,null,null
05129,79000,7548,null,null
05131,113100,2951,null,null
05133,73900,7630,null,null
05135,77300,3586,null,null
05137,93200,9610,null,null
05139,72300,3738,null,null
05141,81600,5943,null,null
05143,153700,2966,null,null
05145,94400,3932,null,null
05147,57300,6331,null,null
05149,79900,4834,null,null
06001,558300,3132,null,null
06003,395600,67084,null,null
06005,318400,13677,null,null
06007,254900,4635,null,null
06009,312000,12822,null,null
06011,244200,16251,null,null
06013,490200,5298,null,null
06015,239800,18354,null,null
06017,409400,7549,null,null
06019,236400,2220,null,null
06021,233800,9511,null,null
06023,314400,6834,null,null
06025,169600,4018,null,null
06027,271100,19307,null,null
06029,196000,2482,null,null
06031,208100,4951,null,null
06033,235900,12306,null,null
06035,199200,12007,null,null
06037,478300,1489,null,null
06039,245500,6366,null,null
06041,840900,11564,null,null
06043,248900,18229,null,null
06045,380800,8746,null,null
06047,197700,6148,null,null
06049,162500,12218,null,null
06051,428600,75763,null,null
06053,497400,11086,null,null
06055,521700,16598,null,null
06057,412600,10048,null,null
06059,575100,2243,null,null
06061,387400,4210,null,null
06063,266100,22910,null,null
06065,284100,2224,null,null
06067,285000,1959,null,null
06069,432900,23530,null,null
06071,278400,2598,null,null
06073,455000,2171,null,null
06075,767300,7861,null,null
06077,264600,3772,null,null
06079,480200,6884,null,null
06081,763100,6897,null,null
06083,523800,14665,null,null
06085,681100,2955,null,null
06087,613500,9642,null,null
06089,246800,3969,null,null
06091,304700,61452,null,null
06093,232200,7861,null,null
06095,340100,4216,null,null
06097,477300,5432,null,null
06099,232000,3796,null,null
06101,233000,6929,null,null
06103,208000,7981,null,null
06105,264200,18670,null,null
06107,191500,2906,null,null
06109,304700,12533,null,null
06111,515900,5390,null,null
06113,365500,7747,null,null
06115,194200,6692,null,null
08001,192300,1439,null,null
08003,130400,20201,null,null
08005,231200,1372,null,null
08007,303800,21821,null,null
08009,71500,8824,null,null
08011,74300,11407,null,null
08013,353000,3810,null,null
08014,270500,8087,null,null
08015,244600,12013,null,null
08017,83200,5322,null,null
08019,279600,19551,null,null
08021,110200,9104,null,null
08023,102600,18546,null,null
08025,83600,5715,null,null
08027,225600,19897,null,null
08029,198400,7961,null,null
08031,243400,2208,null,null
08033,130800,33046,null,null
08035,337900,3340,null,null
08037,530200,37102,null,null
08039,344200,9262,null,null
08041,217000,1523,null,null
08043,158200,5082,null,null
08045,343700,14651,null,null
08047,320700,25712,null,null
08049,283200,22038,null,null
08051,338100,22520,null,null
08053,284800,66727,null,null
08055,149100,21543,null,null
08057,122600,14657,null,null
08059,259400,1893,null,null
08061,75100,10252,null,null
08063,115900,7909,null,null
08065,171600,12357,null,null
08067,342800,9441,null,null
08069,244600,2288,null,null
