pat_id,type,pat_number,pat_date,app_id,series_code,app_number,app_date,iloc_county_fips,aloc_county_fips,cpc_group
10000000,utility,10000000,2018-06-19,14/643719,14,14643719,2015-03-10,6037,25017,
10000001,utility,10000001,2018-06-19,14/962323,14,14962323,2015-12-08,,,
10000002,utility,10000002,2018-06-19,15/107519,15,15107519,2014-12-30,,,
10000003,utility,10000003,2018-06-19,14/437961,14,14437961,2013-03-12,,,
10000004,utility,10000004,2018-06-19,14/973198,14,14973198,2015-12-17,,,
10000005,utility,10000005,2018-06-19,14/123354,14,14123354,2012-08-03,,,
10000006,utility,10000006,2018-06-19,14/734322,14,14734322,2015-06-09,,,
10000007,utility,10000007,2018-06-19,15/178786,15,15178786,2016-06-10,55089,55133,
10000007,utility,10000007,2018-06-19,15/178786,15,15178786,2016-06-10,55079,55133,
10000007,utility,10000007,2018-06-19,15/178786,15,15178786,2016-06-10,55133,55133,
10000008,utility,10000008,2018-06-19,14/556557,14,14556557,2014-12-01,34003,34003,
10000009,utility,10000009,2018-06-19,14/614952,14,14614952,2015-02-05,6001,,
10000010,utility,10000010,2018-06-19,15/196217,15,15196217,2016-06-29,,9001,
10000010,utility,10000010,2018-06-19,15/196217,15,15196217,2016-06-29,36117,9001,
10000010,utility,10000010,2018-06-19,15/196217,15,15196217,2016-06-29,36055,9001,
10000011,utility,10000011,2018-06-19,15/722445,15,15722445,2017-10-02,25017,25017,
10000014,utility,10000014,2018-06-19,14/906938,14,14906938,2014-07-17,,,
10000015,utility,10000015,2018-06-19,15/159489,15,15159489,2016-05-19,25017,,
10000016,utility,10000016,2018-06-19,15/294450,15,15294450,2016-10-14,6059,6059,
10000017,utility,10000017,2018-06-19,14/820696,14,14820696,2015-08-07,,,
10000018,utility,10000018,2018-06-19,15/148543,15,15148543,2016-05-06,6085,6085,
10000018,utility,10000018,2018-06-19,15/148543,15,15148543,2016-05-06,6075,6085,
10000019,utility,10000019,2018-06-19,15/094422,15,15094422,2016-04-08,53033,17031,
10000020,utility,10000020,2018-06-19,14/880683,14,14880683,2015-10-12,,9001,
